Product_ID,Product_Name,Category,Description,Tags,Price
1,Smart Headphones,Electronics,Experience crystal-clear audio with this Smart Headphones featuring HD video support.,"tech, bluetooth, productivity, noise-cancelling, electronics",303.43
2,Essential Guide,Books,This bestselling Essential Guide on data science has transformed how professionals learn.,"reading, book, reference, fiction, books",42.48
3,Compact Kettlebell,Fitness,Elevate your workout with this Compact Kettlebell optimized for flexibility exercises.,"fitness, workout, cardio, strength, recovery",59.3
4,Ceramic Pot,Kitchen,"Cook smarter with this Ceramic Pot, ideal for slow cooking.","meal-prep, appliance, baking, kitchen",284.99
5,Breathable Sweatshirt,Clothing,Performance-ready Breathable Sweatshirt built for everyday comfort in any weather.,"sportswear, sustainable, comfort, clothing",95.05
6,Organic Moisturizer,Beauty,Achieve glowing skin with this Organic Moisturizer designed for sensitive skin.,"organic, skincare, anti-aging, beauty",39.85
7,Vintage Candle,Home Decor,"Transform your room with this Vintage Candle, perfect for mid-century modern aesthetics.","rustic, interior-design, minimalist, aesthetic, home-decor",186.33
8,Wireless Capture Card,Gaming,Professional-grade Wireless Capture Card built for hot-swap switches and marathon sessions.,"mmorpg, gaming, mechanical, streamer",43.45
9,Portable Charger,Electronics,High-performance Portable Charger with advanced noise-cancellation and HD video support.,"streaming, audio, gadget, usb-c, electronics",209.89
10,Comprehensive Compendium,Books,From basics to mastery: the Comprehensive Compendium for anyone interested in history.,"reference, reading, nonfiction, fiction, books",39.22
11,Heavy-Duty Yoga Mat,Fitness,"Heavy-Duty Yoga Mat designed for home and gym use, featuring recovery sessions.","cardio, recovery, yoga, exercise, home-gym, fitness",208.87
12,Stainless Steel Dutch Oven,Kitchen,The Stainless Steel Dutch Oven every kitchen needs for batch cooking.,"cooking, baking, healthy-eating, appliance, chef, kitchen",14.08
13,Thermal Sweatshirt,Clothing,Thermal Sweatshirt crafted for outdoor adventures with premium sustainable materials.,"sportswear, activewear, apparel, style, fashion, clothing",90.11
14,Nourishing Moisturizer,Beauty,Luxury skincare: Nourishing Moisturizer packed with actives for brightening.,"skincare, moisturizing, spf, beauty",35.57
15,Rustic Planter,Home Decor,Rustic Planter that adds character and warmth to any bedroom space.,"interior-design, cozy, minimalist, aesthetic, modern, boho, home-decor",237.5
16,Wireless Mouse Pad,Gaming,Dominate the game with this Wireless Mouse Pad featuring hot-swap switches.,"fps, streamer, mmorpg, mechanical, gaming",542.27
17,Bluetooth Speaker,Electronics,Experience crystal-clear audio with this Bluetooth Speaker featuring USB-C connectivity.,"audio, wireless, streaming, electronics",285.87
